route_id,route_name
0100000A00,0東
0100000B00,0南
0454023500,F235
0454023600,F236
0454023700,F237
0454023800,F238
0454023900,F239
0454025000,F250
0454030190,F301
0454030200,F302
0454030300,F303
0454031200,F312
0454031700,F317
0454031900,F319
0454032000,F320
0454051200,F512
0454051210,F512副
0454051300,F513
0454052100,F521
0454052200,F522
0454052300,F523
0454052500,F525
0454052600,F526
0454061100,F611
0454062300,F623
0454062500,F625
0454062680,F626-0815
0454062600,F626
0454062700,F627
0454062800,F628
0454062900,F629
0454063000,F630
0454065100,F651
0454065200,F652
0454065290,幸福巴士F652延伸線
0454065300,F653A
0454065370,F653B
0454065500,F655
0454065600,F656
0454065700,F657
0454070300,F703
0454070390,F703前三班
0454071100,F711
0454071200,F712
0454071300,F713
0454072100,F721
0454072200,F722
0454072300,F723
0454072380,F723上石嘈
0454072390,F723下石嘈
0454072400,F724
0454080100,F801
0454080200,F802
0454080300,F803
0454080500,F805
0454080600,F806
0454080700,F807
0454080800,F808
0454081100,F811
0454081200,F812
0454081300,F813
0454081500,F815
0454081570,F815嶺頭觀目
0454081600,F816
0454082100,F821
0454082200,F822
0454082300,F823
0454082320,F823區
0454082500,F825
0454083500,F835
0454083600,F836
0454083700,F837
0454083800,F838
0454083900,F839
0454090100,F901
0454090200,F902
0454090300,F903
0454090500,F905
0454090700,F907
0454090990,F909伯爵
0454091000,F910
0454091100,F911
0454091300,F913
0454091500,F915
0454090900,F919八連
0454092090,F920
0454092100,F921
0454092160,F921假日
0454092200,F922內崁
0454092210,F922北基
0454092270,F922烏塗炭
0454092300,F923
0454092360,F923假日
0454093180,F931-0600
0454093120,F931-0700
0454093130,F931-0800
0454093140,F931-0910
0454093150,F931-1030
0454093190,F931-1255
0454093160,F931-1630
0454093170,F931-1730
0454093280,F932-0600
0454093230,F932-0630
0454093220,F932-0715
0454093250,F932-0820
0454093260,F932-0950
0454093290,F932-1110
0454093240,F932-1630
0454093390,F933-0620學生專車
0454093310,F933-0635
0454093300,F933-0710
0454093380,F933-0800
0454093320,F933-0920
0454093330,F933-1030
0454093340,F933-1130
0454093350,F933-1330
0454093360,F933-1430
0454093370,F933-1530
0454084000,吉林線
0454093500,直潭里線
0454093600,貢寮區學生專車
0454099900,塗潭平日線
0454099960,塗潭假日線
0454084500,福連線
0454084100,龍崗線
0152000A00,內科快線1
0152000B00,內科快線2
0152000200,內科通勤專車2
0152000300,內科通勤專車3
0152000500,內科通勤專車5
0152000600,內科通勤專車6
0152000700,內科通勤專車7
0152000800,內科通勤專車8
0152001000,內科通勤專車10
0152001100,內科通勤專車11
0152001200,內科通勤專車12
0152001300,內科通勤專車13
0152001500,內科通勤專車15
0152001600,內科通勤專車16
0152001700,內科通勤專車17
0152001800,內科通勤專車18
0152001900,內科通勤專車19
0152002000,內科通勤專車20
0152002100,內科通勤專車21
0152005400,雙園巴士
0152003000,南軟通勤專車中和線
0152003100,南軟通勤專車天母線
0152003200,南軟通勤專車北投線
0152003400,南軟通勤專車雙和線
0400005700,57
0400009900,99
0400026400,264
0400062400,624
0400062470,624綠野香坡
0400063700,637
0400065600,656
0400066700,667
0400070400,704
0400070420,704區
0400070500,705
0400070600,706
0400078800,788
0461078820,788區
0400078870,788海科館
0400079100,791
0400079120,791區
0400079170,791繞貢寮
0400079190,791經貢寮區衛生
0400079570,795往木柵(台灣好行-木柵平溪線)
0400079580,795往平溪(台灣好行-木柵平溪線)
0400079500,795往十分寮(台灣好行-木柵平溪線)
0400081300,813
0400081900,819
0400084900,849
0400084970,849屈尺社區
0400085700,857
0400086000,860
0400086200,862
0400088000,880
0400092300,923
0400093600,936
0400093680,936A
0410098100,981
0410098200,982
0415000500,橘5
0412001500,藍15
0411002200,紅22
0412002200,藍22
0412003800,藍38
0161000600,中山幹線
0161000200,仁愛幹線
0161000100,內湖幹線
0100062000,北環幹線
0161000300,民生幹線
0161001300,民權幹線
0161000700,和平幹線
0161001100,忠孝幹線
0161000900,承德幹線
0113001600,東環幹線
0161000400,松江新生幹線
0161001200,信義幹線
0161001400,南京幹線
0113000100,南環幹線
0161001000,重慶幹線
0161001500,基隆路幹線
0161000800,復興幹線
0161000500,敦化幹線
0161001600,羅斯福路幹線
0162003000,兒樂1號線
0162003100,兒樂2號線
0162001000,懷恩專車S31
0162001100,懷恩專車S32
0162001200,懷恩專車S33
0162001300,懷恩專車S34
0162001400,懷恩專車S35
0162002000,貓空右線
0162002100,貓空左線(指南宮)
0162002200,貓空左線(動物園)
0463085300,853跳蛙
0463093900,939跳蛙
0463001200,淡水-國道1號-南港車站
